PI15,1,,high,BSWAL,1,,,,,1
PI15,1,,high,BSWAL,1,,1,,,
PI15,1,,high,SPPLOV,1,,1,,,
PI15,1,,high,BSWAL,1,,1,,,
PI15,1,,high,EGR,2,,1,,,
PI15,3,,low,TSWAL,1,,1,,,
PI15,3,,low,EGR,1,,1,,,
PI15,3,,low,TSWAL,3,,1,,,
PI15,3,,low,SPPLOV,1,,1,,,
PI15,3,,low,EGR,3,,1,,,
PI15,3,,low,SWAL,6,,1,,,
PI15,3,,low,SMSPAR,2,,1,,,
PI15,3,,low,BSWAL,1,,1,,,
PI15,3,,low,BSWAL,1,,1,1,,
PI15,3,,low,BHER,3,,1,1,,
PI15,3,,low,PPLOV,1,,1,1,,1
PI15,3,,low,EGR,4,,1,,,
PI15,2,,low,LAG,1,,1,,,
PI15,2,,low,PLOV,1,,1,,,
PI15,2,,low,SPPLOV,2,,1,,,
PI15,2,,high,PPLOV,1,,,,,
PI15,2,,high,BSWAL,1,,1,,,
PI15,2,,high,BSWAL,1,,1,,,
PI15,2,,high,BSWAL,3,,1,,,
PI15,2,,high,TSWAL,1,,1,,,
PI15,2,,high,EGR,2,,1,,,
PI15,2,,high,BBG,2,,1,,,
PI15,2,,high,SPPLOV,1,,,1,,
PI15,3,,high,SPPLOV,1,,,1,,
PI15,3,,high,BBG,1,,,,1,
PI15,3,,high,BSWAL,1,,1,,,
PI15,3,,high,SMSPAR,1,,,,1,
PI15,3,,high,RWB,1,,1,,,
PI15,3,,high,SLING,1,,,1,,
PI15,3,,high,PIPLOV,1,,,1,,
PI15,3,,high,RWB,1,,1,,,
PI15,3,,high,SPPLOV,1,,,1,,
PI15,3,,high,BSWAL,1,,1,1,,
PI15,3,,high,TSWAL,1,,1,1,,
PI15,3,,high,SMSPAR,1,,1,,,1
PI15,1,,low,TSWAL,1,,1,,,
PI15,1,,low,RWB,1,,,1,,
PI15,1,,low,SPPLOV,1,,,1,,
PI15,1,,low,PIPLOV,1,,1,,,
PI15,1,,low,SLING,1,,1,1,,
PI15,1,,low,SPPLOV,4,,,1,,
PI15,1,,low,BBPLOV,1,,,1,,
